Owned complete toolset.Worked extensive overtime on request. </ns:Emp.Responsibility><ns:Emp.FunctionCategory>Production</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>Manufacturing</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>IA </ns:Loc.State><ns:Loc.City>Des Moines</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>Bachelor</ns:Edu.Level><ns:Edu.StartDate>1990-09-15Z</ns:Edu.StartDate><ns:Edu.EndDate>1994-05-10Z</ns:Edu.EndDate><ns:Edu.Degree>Bachelor of Science</ns:Edu.Degree><ns:Edu.Major>Mechanical Engineering</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>3.2</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Midwest State University</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>IA </ns:Loc.State><ns:Loc.City>Ames</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>Home</ns:Addr.Type><ns:Addr.Street>567 3rd Ave</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>MI </ns:Loc.State><ns:Loc.City>Saginaw</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>53900</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>Voice</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>276</ns:Tel.AreaCode><ns:Tel.Number>555-0114</ns:Tel.Number></ns:Telephone><ns:Telephone><ns:Tel.Type>Fax</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>276</ns:Tel.AreaCode><ns:Tel.Number>555-0132</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:EMail>Shai@Example.com</ns:EMail><ns:WebSite/></ns:Resume>	2007-06-23 00:00:00.000
</ns:Emp.Responsibility><ns:Emp.FunctionCategory>Production</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>Manufacturing</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>FL </ns:Loc.State><ns:Loc.City>Orlando</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>Bachelor</ns:Edu.Level><ns:Edu.StartDate>1993-09-04Z</ns:Edu.StartDate><ns:Edu.EndDate>1997-06-03Z</ns:Edu.EndDate><ns:Edu.Degree>Bachelor of Science</ns:Edu.Degree><ns:Edu.Major>Industrial Engineering</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>3.4</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Everglades State College</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>FL </ns:Loc.State><ns:Loc.City>Tampa Bay</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Education><ns:Edu.Level>High School</ns:Edu.Level><ns:Edu.StartDate>1989-08-27Z</ns:Edu.StartDate><ns:Edu.EndDate>1993-06-12Z</ns:Edu.EndDate><ns:Edu.Degree>Diploma</ns:Edu.Degree><ns:Edu.Major/><ns:Edu.Minor/><ns:Edu.GPA>3.8</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Evergreen High School</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>FL </ns:Loc.State><ns:Loc.City>Orlando</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>Home</ns:Addr.Type><ns:Addr.Street>12345 Cypress Drive</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>FL </ns:Loc.State><ns:Loc.City>Orlando</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>37811</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>Voice</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>407</ns:Tel.AreaCode><ns:Tel.Number>555-0101</ns:Tel.Number></ns:Telephone><ns:Telephone><ns:Tel.Type>Pager</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>407</ns:Tel.AreaCode><ns:Tel.Number>555-0122</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:EMail>Max@Wingtiptoys.com</ns:EMail><ns:WebSite>http://www.Wingtiptoys.com</ns:WebSite></ns:Resume>	2007-06-23 00:00:00.000
</ns:Emp.Responsibility><ns:Emp.FunctionCategory>Purchasing</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>Entertainment</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Kent</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>Bachelor</ns:Edu.Level><ns:Edu.StartDate>1989-09-15Z</ns:Edu.StartDate><ns:Edu.EndDate>1993-06-10Z</ns:Edu.EndDate><ns:Edu.Degree>Bachelor of Science</ns:Edu.Degree><ns:Edu.Major>Business</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>3.6</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Western University</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Seattle</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>Home</ns:Addr.Type><ns:Addr.Street>1234 3rd Ave S.</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Issaquah</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>89027</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>Voice</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>425</ns:Tel.AreaCode><ns:Tel.Number>555-0111</ns:Tel.Number></ns:Telephone><ns:Telephone><ns:Tel.Type>Voice</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>206</ns:Tel.AreaCode><ns:Tel.Number>555-0198</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:Address><ns:Addr.Type>Home</ns:Addr.Type><ns:Addr.Street>6789 80th Ave SE</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Mercer Island</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>98240</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>206</ns:Tel.AreaCode><ns:Tel.Number>555-0153</ns:Tel.Number></ns:Telephone><ns:Telephone><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>206</ns:Tel.AreaCode><ns:Tel.Number>3217342</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:Address><ns:Addr.Type>Permanent</ns:Addr.Type><ns:Addr.Street>789 Elm Street</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Redmond</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>98052</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>425</ns:Tel.AreaCode><ns:Tel.Number>555-0155</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:Telephone><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>425</ns:Tel.AreaCode><ns:Tel.Number>555-0177</ns:Tel.Number></ns:Telephone><ns:EMail>Krishna@TreyResearch.net</ns:EMail><ns:WebSite>http://www.TreyResearch.net</ns:WebSite></ns:Resume>	2007-06-23 00:00:00.000
</ns:Emp.Responsibility><ns:Emp.FunctionCategory>Sales</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>Food and Beverage</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Spokane</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>Bachelor</ns:Edu.Level><ns:Edu.StartDate>1986-09-15Z</ns:Edu.StartDate><ns:Edu.EndDate>1990-05-20Z</ns:Edu.EndDate><ns:Edu.Degree>Bachelor of Arts and Science</ns:Edu.Degree><ns:Edu.Major>Business</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>3.3</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Louisiana Business College of New Orleans</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>LA</ns:Loc.State><ns:Loc.City>New Orleans</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>Home</ns:Addr.Type><ns:Addr.Street>30 151st Place SE</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Redmond</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>98052</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>Voice</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>425</ns:Tel.AreaCode><ns:Tel.Number>555-1119</ns:Tel.Number></ns:Telephone><ns:Telephone><ns:Tel.Type>Voice</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>425</ns:Tel.AreaCode><ns:Tel.Number>555-1981</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:EMail>Stephen@example.com</ns:EMail><ns:WebSite/></ns:Resume>	2013-12-22 18:32:21.313
</ns:Emp.Responsibility><ns:Emp.FunctionCategory>Ventes</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>Agro-alimentaire</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Bouches-du-Rhône</ns:Loc.State><ns:Loc.City>Aix-en-Provence</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>Maîtrise</ns:Edu.Level><ns:Edu.StartDate>1986-09-15Z</ns:Edu.StartDate><ns:Edu.EndDate>1990-05-10Z</ns:Edu.EndDate><ns:Edu.Degree>Baccalauréat professionnel vente représentation</ns:Edu.Degree><ns:Edu.Major>Force de vente</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>Mention Bien</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Université d'Aix-Marseille</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Bouches-du-Rhône</ns:Loc.State><ns:Loc.City>Marseille</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>Home</ns:Addr.Type><ns:Addr.Street>12, rue des Acacias</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Bouches-du-Rhône</ns:Loc.State><ns:Loc.City>Marseille</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>13000</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>Voice</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>4</ns:Tel.AreaCode><ns:Tel.Number>04 02 04 05 04</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:EMail/><ns:WebSite/></ns:Resume>	2007-06-23 00:00:00.000
</ns:Emp.Responsibility><ns:Emp.FunctionCategory>Production</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>Fabrication</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Pyrénées-Orientales</ns:Loc.State><ns:Loc.City>Perpignan</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>Maîtrise</ns:Edu.Level><ns:Edu.StartDate>1993-04-09Z</ns:Edu.StartDate><ns:Edu.EndDate>1997-03-06Z</ns:Edu.EndDate><ns:Edu.Degree>Maîtrise de sciences et techniques</ns:Edu.Degree><ns:Edu.Major>Ingénierie industrielle</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>Mention Bien</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Université de Perpignan</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Pyrénées-Orientales</ns:Loc.State><ns:Loc.City>Perpignan</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Education><ns:Edu.Level>Maîtrise</ns:Edu.Level><ns:Edu.StartDate>1989-08-27Z</ns:Edu.StartDate><ns:Edu.EndDate>1993-12-06Z</ns:Edu.EndDate><ns:Edu.Degree>Baccalauréat sciences et technologies industrielles</ns:Edu.Degree><ns:Edu.Major>Génie mécanique</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>Mention Bien</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Lycée technique Émile Zola</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Pyrénées-Orientales</ns:Loc.State><ns:Loc.City>Perpignan</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>Home</ns:Addr.Type><ns:Addr.Street>63, rue de Frontfroide</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Pyrénées-Orientales</ns:Loc.State><ns:Loc.City>Perpignan</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>66870</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>Voice</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>5</ns:Tel.AreaCode><ns:Tel.Number>05 02 05 02 05</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:EMail/><ns:WebSite/></ns:Resume>	2007-06-23 00:00:00.000
</ns:Emp.Responsibility><ns:Emp.FunctionCategory>Production</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>Fabrication</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Loire</ns:Loc.State><ns:Loc.City>Saint-Étienne</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>DUT</ns:Edu.Level><ns:Edu.StartDate>1992-09-09Z</ns:Edu.StartDate><ns:Edu.EndDate>1994-05-06Z</ns:Edu.EndDate><ns:Edu.Degree>DUT Génie mécanique et Productique</ns:Edu.Degree><ns:Edu.Major>Ingénierie mécanique</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>Mention Bien</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Université de Lyon</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Rhône</ns:Loc.State><ns:Loc.City>Lyon</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>Home</ns:Addr.Type><ns:Addr.Street>67, cours Mirabeau</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>France</ns:Loc.CountryRegion><ns:Loc.State>Var</ns:Loc.State><ns:Loc.City>Bandol</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>83150</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>Voice</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>4</ns:Tel.AreaCode><ns:Tel.Number>04 02 03 04 05</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:EMail/><ns:WebSite/></ns:Resume>	2007-06-23 00:00:00.000
</ns:Emp.Responsibility><ns:Emp.FunctionCategory>销售</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>食品和饮料</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Kent</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>学士</ns:Edu.Level><ns:Edu.StartDate>1986-09-15Z</ns:Edu.StartDate><ns:Edu.EndDate>1990-05-15Z</ns:Edu.EndDate><ns:Edu.Degree>Bachelor of Science</ns:Edu.Degree><ns:Edu.Major>贸易</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>3.3</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Western University</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Seattle</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>家庭</ns:Addr.Type><ns:Addr.Street>50 West 5th Street</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>WA </ns:Loc.State><ns:Loc.City>Federal Way</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>98003</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>家庭</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>253</ns:Tel.AreaCode><ns:Tel.Number>555-1444</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:EMail/><ns:WebSite/></ns:Resume>	2013-12-22 18:32:21.267
</ns:Emp.Responsibility><ns:Emp.FunctionCategory>生产</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>制造</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>FL </ns:Loc.State><ns:Loc.City>Orlando</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>学士</ns:Edu.Level><ns:Edu.StartDate>1992-09-04Z</ns:Edu.StartDate><ns:Edu.EndDate>1996-06-03Z</ns:Edu.EndDate><ns:Edu.Degree>理学士</ns:Edu.Degree><ns:Edu.Major>工业工程</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>3.4</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Soutern State College</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>FL </ns:Loc.State><ns:Loc.City>Tampa Bay</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Education><ns:Edu.Level>High School</ns:Edu.Level><ns:Edu.StartDate>1988-08-27Z</ns:Edu.StartDate><ns:Edu.EndDate>1992-06-12Z</ns:Edu.EndDate><ns:Edu.Degree>高中</ns:Edu.Degree><ns:Edu.Major/><ns:Edu.Minor/><ns:Edu.GPA>3.8</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Evergreen High School</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>FL </ns:Loc.State><ns:Loc.City>Orlando</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>家庭</ns:Addr.Type><ns:Addr.Street>1234 Palm Street</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>FL </ns:Loc.State><ns:Loc.City>Orlando</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>37812</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>家庭</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>407</ns:Tel.AreaCode><ns:Tel.Number>555-0101</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address></ns:Resume>	2007-06-23 00:00:00.000
</ns:Emp.Responsibility><ns:Emp.FunctionCategory>生产</ns:Emp.FunctionCategory><ns:Emp.IndustryCategory>制造</ns:Emp.IndustryCategory><ns:Emp.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>IA </ns:Loc.State><ns:Loc.City>Des Moines</ns:Loc.City></ns:Location></ns:Emp.Location></ns:Employment><ns:Education><ns:Edu.Level>学士</ns:Edu.Level><ns:Edu.StartDate>1990-09-05Z</ns:Edu.StartDate><ns:Edu.EndDate>1994-05-22Z</ns:Edu.EndDate><ns:Edu.Degree>理学士</ns:Edu.Degree><ns:Edu.Major>机械工程</ns:Edu.Major><ns:Edu.Minor/><ns:Edu.GPA>3.2</ns:Edu.GPA><ns:Edu.GPAScale>4</ns:Edu.GPAScale><ns:Edu.School>Midwest State University</ns:Edu.School><ns:Edu.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>IA </ns:Loc.State><ns:Loc.City>Des Moines</ns:Loc.City></ns:Location></ns:Edu.Location></ns:Education><ns:Address><ns:Addr.Type>家庭</ns:Addr.Type><ns:Addr.Street>15 Main Street</ns:Addr.Street><ns:Addr.Location><ns:Location><ns:Loc.CountryRegion>US </ns:Loc.CountryRegion><ns:Loc.State>CO </ns:Loc.State><ns:Loc.City>Denver</ns:Loc.City></ns:Location></ns:Addr.Location><ns:Addr.PostalCode>80521</ns:Addr.PostalCode><ns:Addr.Telephone><ns:Telephone><ns:Tel.Type>家庭</ns:Tel.Type><ns:Tel.IntlCode>1</ns:Tel.IntlCode><ns:Tel.AreaCode>303</ns:Tel.AreaCode><ns:Tel.Number>555-0114</ns:Tel.Number></ns:Telephone></ns:Addr.Telephone></ns:Address><ns:EMail>Tai@Example.com</ns:EMail><ns:WebSite/></ns:Resume>	2007-06-23 00:00:00.000
